,c1qb,Case.ID,Sample.ID
796,405714.261544,TCGA-E2-A1B4,TCGA-E2-A1B4-01A
797,2769308.2280200003,TCGA-E2-A15M,TCGA-E2-A15M-01A
798,668110.3498130001,TCGA-BH-A0E2,TCGA-BH-A0E2-01A
799,3580629.8903,TCGA-AO-A12D,TCGA-AO-A12D-01A
800,2599873.01325,TCGA-A8-A09D,TCGA-A8-A09D-01A
801,1042360.72405,TCGA-C8-A12O,TCGA-C8-A12O-01A
802,2678226.05741,TCGA-BH-A0HB,TCGA-BH-A0HB-01A
803,586363.3807069999,TCGA-A1-A0SG,TCGA-A1-A0SG-01A
804,2062801.22991,TCGA-OL-A5D6,TCGA-OL-A5D6-01A
805,1574010.3982799996,TCGA-BH-A0DZ,TCGA-BH-A0DZ-11A
806,282516.564825,TCGA-AO-A03N,TCGA-AO-A03N-01B
807,882532.993993,TCGA-BH-A1F8,TCGA-BH-A1F8-01A
808,454215.5585390001,TCGA-A7-A0D9,TCGA-A7-A0D9-01A
809,2991110.77274,TCGA-BH-A1EY,TCGA-BH-A1EY-01A
810,1091917.44644,TCGA-A8-A06Z,TCGA-A8-A06Z-01A
811,902822.082623,TCGA-BH-A0AY,TCGA-BH-A0AY-11A
812,281931.916122,TCGA-C8-A137,TCGA-C8-A137-01A
813,606869.356243,TCGA-A8-A06N,TCGA-A8-A06N-01A
814,1254336.65861,TCGA-HN-A2OB,TCGA-HN-A2OB-01A
815,2631067.71031,TCGA-LL-A8F5,TCGA-LL-A8F5-01A
816,3230734.31135,TCGA-LL-A73Z,TCGA-LL-A73Z-01A
817,1240552.50238,TCGA-AN-A0FW,TCGA-AN-A0FW-01A
818,2329335.39512,TCGA-A8-A07Z,TCGA-A8-A07Z-01A
819,492178.408998,TCGA-S3-AA11,TCGA-S3-AA11-01A
820,211608.398956,TCGA-EW-A6SA,TCGA-EW-A6SA-01A
821,1814882.23644,TCGA-E9-A2JT,TCGA-E9-A2JT-01A
822,889521.4056299998,TCGA-BH-A0BJ,TCGA-BH-A0BJ-01A
823,2648661.0425400003,TCGA-A2-A3XV,TCGA-A2-A3XV-01A
824,543991.721098,TCGA-E2-A15I,TCGA-E2-A15I-01A
825,764276.182665,TCGA-AR-A2LM,TCGA-AR-A2LM-01A
826,2240711.92888,TCGA-D8-A1JU,TCGA-D8-A1JU-01A
827,2326042.30302,TCGA-A7-A3J1,TCGA-A7-A3J1-01A
828,150848.018732,TCGA-EW-A1OX,TCGA-EW-A1OX-01A
829,3965633.33531,TCGA-D8-A1XQ,TCGA-D8-A1XQ-01A
830,928691.071883,TCGA-A7-A4SC,TCGA-A7-A4SC-01A
831,3019025.65649,TCGA-A8-A09M,TCGA-A8-A09M-01A
832,543641.705416,TCGA-E9-A5UO,TCGA-E9-A5UO-01A
833,471017.089729,TCGA-AC-A6NO,TCGA-AC-A6NO-01A
834,705608.0197640002,TCGA-AC-A8OP,TCGA-AC-A8OP-01A
835,401974.051763,TCGA-AO-A03V,TCGA-AO-A03V-01A
836,1468829.71497,TCGA-AO-A0JF,TCGA-AO-A0JF-01A
837,2216165.25779,TCGA-AR-A0TV,TCGA-AR-A0TV-01A
838,1095533.3961200002,TCGA-A8-A092,TCGA-A8-A092-01A
839,2800282.5778900003,TCGA-E2-A3DX,TCGA-E2-A3DX-01A
840,707117.971974,TCGA-BH-A18N,TCGA-BH-A18N-01A
841,629362.08348,TCGA-B6-A0IE,TCGA-B6-A0IE-01A
842,1906140.97228,TCGA-AC-A5EH,TCGA-AC-A5EH-01A
843,815589.732857,TCGA-MS-A51U,TCGA-MS-A51U-01A
844,1276557.05194,TCGA-A2-A0ET,TCGA-A2-A0ET-01A
845,5448435.1512199985,TCGA-B6-A0IJ,TCGA-B6-A0IJ-01A
846,652756.5840970001,TCGA-BH-A0BJ,TCGA-BH-A0BJ-11A
847,2003657.69757,TCGA-LL-A7T0,TCGA-LL-A7T0-01A
848,2875274.30966,TCGA-PL-A8LZ,TCGA-PL-A8LZ-01A
849,1701509.28113,TCGA-AO-A1KT,TCGA-AO-A1KT-01A
